Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Country,Genre,Url of the poster,Url of the youtube trailer
Apocalypse Now,Francis Coppola,"Dennis Hopper, Frederic Forrest, Laurence Fishburne, Marlon Brando, Martin Sheen, Robert Duvall",1979,2,http://www.imdb.com/title/tt0078788/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDg1MDgzMmQtNDhlYS00MzZiLTllZGItNzliZTE1ODBiZDQwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,658,1000_AL_.jpg",https://youtu.be/FTjG-Aux_yQ
North by Northwest,Alfred Hitchcock," Cary Grant, Eva Marie Saint, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G Carroll, Martin Landau",1959,,http://www.imdb.com/title/tt0053125/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_CR0,0,664,1000_AL_.jpg",https://youtu.be/ek7T9Gyl_J4
Once Upon a Time in the West,Sergio Leone,"Charles Bronson, Claudia Cardinale, Henry Fonda, Jason Robards",1968,,http://www.imdb.com/title/tt0064116/,Italy,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxOTEwOTU0MV5BMl5BanBnXkFtZTgwNDc4NjQ3MTI@._V1_SY1000_CR0,0,704,1000_AL_.jpg",https://youtu.be/Yw-Av9BpC-w
The Wild Bunch,Sam Pekinpah,"Ernest Borgnine, Robert Ryan, William Holden",1969,,http://www.imdb.com/title/tt0065214/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGUyYTZmOWItMDJhMi00N2IxLWIyNDMtNjUxM2ZiYmU5YWU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_CR0,0,654,1000_AL_.jpg",https://youtu.be/kdy0t_8mQBw
Deliverance,John Boorman ,"Burt Reynolds, Jon Voight, Ned Beatty",1972,,http://www.imdb.com/title/tt0068473/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjBhYzU3NWItOWZjMy00NjI5LWFmYmItZmIyOWFlMDIxMWNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY1000_CR0,0,676,1000_AL_.jpg",https://youtu.be/at-gOm93fZg
City of God,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino da Hora, Matheus Nachtergaele, Phelipe Haagensen",2002,,http://www.imdb.com/title/tt0317248/,Brazil,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTM4MjZjNWEtMmQxMi00YzY5LTg4ZTAtODJlMDVkZWZmNTVhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY1000_CR0,0,677,1000_AL_.jpg",https://youtu.be/dcUOO4Itgmw
Paths of Glory,Stanley Kubrick,"Adolphe Menjou, Kirk Douglas, Ralph Meeker",1957,,http://www.imdb.com/title/tt0050825/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SY1000_CR0,0,653,1000_AL_.jpg",https://youtu.be/AV9XLjDbt5A
The Wages of Fear,Henri-Georges Clouzot,"Charles Vanel, Folco Lulli, Yves Montand",1953,,http://www.imdb.com/title/tt0046268/,France,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY1000_CR0,0,687,1000_AL_.jpg",https://youtu.be/2_0OrSG5RWA
Crouching Tiger Hidden Dragon,Ang Lee,"Chang Chen, Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Ziyi Zhang",2000,4,http://www.imdb.com/title/tt0190332/,Taiwan,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDdhMzMxOTctNDMyNS00NTZmLTljNWEtNTc4MDBmZTYxY2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://youtu.be/WdhvxJZDqzU
 The Thin Red Line,Terrence Malik,"Adrien Brody, Ben Chaplin, Nick Nolte, Sean Penn",1998,,http://www.imdb.com/title/tt0120863/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzMTM2NjAtNWFmZC00MTVlLTgyMmQtMGQyNTFjZDk5N2NmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SY1000_CR0,0,673,1000_AL_.jpg",https://youtu.be/mKl5_OxKBn8
Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",1981,4,http://www.imdb.com/title/tt0082971/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SY1000_CR0,0,664,1000_AL_.jpg",https://youtu.be/gz4crpFaW4M
 Bullitt,Peter Yates,"Jacqueline Bisset, Robert Vaughn, Steve McQueen",1968,1,http://www.imdb.com/title/tt0062765/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTQwNjkyMzctMjY1My00Y2U0LWE5MGEtNWY4M2FhZGYwODE1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_CR0,0,667,1000_AL_.jpg",https://youtu.be/BsvD806qNM8
Ran,Akira Kurosawa,"Akira Terao, Daisuke Ryu, Mieko Harada, Tatsuya Nakadai",1985,1,http://www.imdb.com/title/tt0089881/,Japan,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDBjZTM4ZmEtOTA5ZC00NTQzLTkyNzYtMmUxNGU2YjI5YjU5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SY1000_CR0,0,706,1000_AL_.jpg",https://youtu.be/AbbfDntoRRk
Die Hard,John McTeirnan,"Alan Rickman, Bonnie Bedelia, Bruce Willis",1988,,http://www.imdb.com/title/tt0095016/,USA,Action,https://images-na.ssl-images-amazon.com/images/M/MV5BMzNmY2IwYzAtNDQ1NC00MmI4LThkOTgtZmVhYmExOTVhMWRkXkEyXkFqcGdeQXVyMTk5NDA3Nw@@._V1_.jpg,https://youtu.be/2TQ-pOvI6Xo
The Adventures of Robin Hood,"Michael Curtiz, William Keighley","Basil Rathbone, Claude Rains, Errol Flynn, Olivia De Havilland, Olivia de Havilland, William Keighley",1938,3,http://www.imdb.com/title/tt0029843/,USA,Action,https://images-na.ssl-images-amazon.com/images/M/MV5BYjZjOTU3MTMtYTM5YS00YjZmLThmNmMtODcwOTM1NmRiMWM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_SX674_AL_.jpg,https://youtu.be/BpqR6Ca-LL8
 The Searchers,John Ford,"Jeffrey Hunter, John Wayne, Natalie Wood, Vera Miles, Ward Bond",1956,,http://www.imdb.com/title/tt0049730/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGY4ZTBmNTUtOTcwZC00NjY2LTljMjktNmY5YmE4MjdjYjVjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_CR0,0,666,1000_AL_.jpg",https://youtu.be/ii_7QnXPQxA
Goldfinger,Guy Hamilton," Bernard Lee, Gert Frobe, Harold Sakata, Honor Blackman, Lois Maxwell, Sean Connery, Shirley Eaton, Tania Mallet",1964,1,http://www.imdb.com/title/tt0058150/,UK,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MzE0OTU3NV5BMl5BanBnXkFtZTcwNjQxNTgzNA@@._V1_SY1000_CR0,0,666,1000_AL_.jpg",https://youtu.be/MA65V-oLKa8
Full Metal Jacket,Stanley Kubrick,"Adam Baldwin, Lee Ermey, Matthew Modine, Vincent D'Onofrio",1987,,http://www.imdb.com/title/tt0093058/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzc2ZThkOGItZGY5YS00MDYwLTkyOTAtNDRmZWIwMGRhYTc0L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,656,1000_AL_.jpg",https://youtu.be/x9f6JaaX7Wg
Last of the Mohicans,Michael Mann,"Daniel Day-Lewis, Jodhi May, Madeleine Stowe",1992,1,http://www.imdb.com/title/tt0104691/,,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDNiYmRkNDYtOWU1NC00NmMxLWFkNmUtMGI5NTJjOTJmYTM5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SY1000_CR0,0,670,1000_AL_.jpg",https://youtu.be/yaQeVnN6pUc
Deer Hunter,Michael Cimino,"Christopher Walken, Meryl Streep, Robert De Niro",1978,5,http://www.imdb.com/title/tt0077416/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,678,1000_AL_.jpg",https://youtu.be/SKHZ5-JThFE
Gladiator,Ridley Scott,"Connie Nielsen, Joaquin Phoenix, Oliver Reed, Russell Crowe",2000,5,http://www.imdb.com/title/tt0172495/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SY1000_CR0,0,675,1000_AL_.jpg",https://youtu.be/Q-b7B8tOAQU
Rome Open City,Roberto Rossellini,"Aldo Fabrizi, Anna Magnani, Marcello Pagliero",1945,,http://www.imdb.com/title/tt0038890/,Italy,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjZjZWVhODYtM2E5OS00ODRiLThjZDktMzE1NDUwMzg1ZmRiXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SY1000_CR0,0,709,1000_AL_.jpg",https://youtu.be/c1P1JRSJT6Q
Butch Cassidy,George Roy Hill,"Katharine Ross, Paul Newman, Robert Redford",1969,4,http://www.imdb.com/title/tt0064115/,USA,Action,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_.jpg,https://youtu.be/YdJW2UxvSFQ
Where Eagles Dare,Brian G. Hutton,"Clint Eastwood, Mary Ure, Richard Burton",1968,,http://www.imdb.com/title/tt0065207/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGE3ZWZiNzktMDIyOC00ZmVhLThjZTktZjQ5NjI4NGVhMDBlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SY1000_CR0,0,670,1000_AL_.jpg",https://youtu.be/khIZwbXDF0o
The Incredibles,Brad Bird,"Craig T Nelson, Holly Hunter, Jason Lee, Samuel L Jackson",2004,2,http://www.imdb.com/title/tt0317705/,USA,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SY1000_CR0,0,675,1000_AL_.jpg",https://youtu.be/-UaGUdNJdRQ
Andrei Rublev,Andrei Tarkovsky,"Anatoli Solonitsyn, Andrei Mikhalkov-Konchalovsky, Andrei Tarkovsky, Ivan Lapikov, Nikolai Grinko",1966,,http://www.imdb.com/title/tt0060107/,Soviet Union,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Mulholland Dr,David Lynch,"Justin Theroux, Laura Harring, Naomi Watts",2001,,http://www.imdb.com/title/tt0166924/,France,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
L’Atalante,Jean Vigo,"Dita Parlo, Jean Daste, Michel Simon",1934,,http://www.imdb.com/title/tt0024844/,France,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Tokyo Story,Yasujiro Ozu," Chieko Higashiyama, Chishu Ryu, Setsuko Hara, Toru Abu",1953,,http://www.imdb.com/title/tt0046438/,Japan,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Citizen Kane,Orson Welles," Dorothy Comingore, Everett Sloane, Joseph Cotten, Orson Welles",1941,1,http://www.imdb.com/title/tt0033467/,USA,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
A Clockwork Orange,Stanley Kubrick,"Adrienne Corri, Malcolm McDowell, Michael Bates, Patrick Magee, Warren Clarke",1971,,http://www.imdb.com/title/tt0066921/,USA,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Days of Heaven,Terrence Malik,"Brooke Adams, Richard Gere, Sam Shepard",1978,1,http://www.imdb.com/title/tt0077405/,USA,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Wild Strawberries,Ingmar Bergman,"Bibi Anderson, Bibi Andersson, Gunnar Bjornstrand, Ingrid Thulin, Victor Sjostrom",1957,,http://www.imdb.com/title/tt0050986/,Sweden,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
White Ribbon,Michael Haneke,"Burghart Klaussner, Christian Friedel, Josef Bierbichler, Susanne Lothar, Ulrich Tukur",2009,,http://www.imdb.com/title/tt1149362/,Germany,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
The Gospel According to St Matthew,Pier Paolo Pasolini," Enrique Irazoqui, Margherita Caruso",1964,,http://www.imdb.com/title/tt0058715/,Italy,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Aguirre Wrath of God,Werner Herzog," Cecilia Rivera, Klaus Kinski, Ruy Guerra",1972,,http://www.imdb.com/title/tt0068182/,Germany,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Pather Panchali,Satyajit Ray," Kanu Bannerjee, Karuna Bannerjee, Uma Das Gupta",1955,,http://www.imdb.com/title/tt0048473/,India,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
The Conformist,Bernado Bertolucci,"Dominique Sanda, Gastone Moschin, Jean-Louis Trintignant, Louis Trintignant, Stefania Sandrelli",1970,,http://www.imdb.com/title/tt0065571/,Italy,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Death in Venice,Luchino Visconti,"Bjorn Andresen, Dirk Bogarde, Marisa Berensen, Silvana Mangano",1971,,http://www.imdb.com/title/tt0067445/,Italy,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
The Godfather Parts I and II,Francis Ford Coppola,"Al Lettieri, Al Pacino, Diane Keaton, James Caan, John Cazale, Marlon Brando, Robert Duvall, Talia Shire",1972,9 altogether,http://www.imdb.com/title/tt0068646/,USA,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
The Graduate,Mike Nichols,"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels",1967,1,http://www.imdb.com/title/tt0061722/,USA,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
There Will Be Blood,Paul Thomas Anderson," Daniel Day Lewis, Daniel Day-Lewis, Dillon Freasier, Kevin J O'Connor, Paul Dano",2007,2,http://www.imdb.com/title/tt0469494/,USA,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
Battleship Potemkin,Sergei Eisenstein,"A Antonov, Alexandr Antonov, Grigori Alexandrov, Midhail Gomorov, Vladimir Barsky",1925,,http://www.imdb.com/title/tt0015648/,Soviet Union,Arthouse and Drama,http://lorempixel.com/430/653/abstract/,
